TRIP_ID,TRAVEL_TIME
T1,612.6832
T2,698.91754
T3,711.00775
T4,712.7885
T5,713.03265
T6,725.8051
T7,724.2558
T8,726.40027
T9,719.30817
T10,725.8026
T11,726.67883
T12,726.93976
T13,720.0418
T14,727.54224
T15,728.43555
T16,728.5589
T17,728.5766
T18,728.5904
T19,728.5908
T20,728.7519
T21,728.7519
T22,728.75195
T23,728.7227
T24,728.74817
T25,728.56744
T26,728.7268
T27,728.6161
T28,728.735
T29,728.7517
T30,728.7542
T31,725.43646
T32,728.31586
T33,612.91125
T34,704.6577
T35,718.71967
T36,720.6612
T37,721.33936
T38,727.1685
T39,726.12396
T40,727.0291
T41,725.7827
T42,719.8986
T43,726.36945
T44,719.87915
T45,723.4506
T46,726.9844
T47,727.48065
T48,728.65955
T49,728.81805
T50,726.6935
T51,728.51996
T52,728.8133
T53,728.8195
T54,728.8463
T55,728.8488
T56,721.19257
T57,721.1923
T58,721.6436
T59,727.7765
T60,728.7106
T61,728.8344
T62,728.71674
T63,721.2256
T64,727.70776
T65,616.24475
T66,704.03705
T67,718.64496
T68,716.34924
T69,723.163
T70,716.69226
T71,723.2045
T72,724.22546
T73,724.3374
T74,724.4843
T75,728.0944
T76,728.7419
T77,728.84045
T78,728.8569
T79,728.8569
T80,728.85913
T81,728.85944
T82,728.8595
T83,728.8595
T84,728.8595
T85,728.85815
T86,728.8593
T87,728.85944
T88,728.8595
T90,728.8589
T91,728.85944
T92,728.8595
T93,728.8455
T94,728.8576
T95,728.8592
T96,728.85944
T98,728.8595
T99,618.7824
T100,711.9714
T101,726.52203
T102,728.4622
T103,728.7699
T104,728.8389
T107,728.8566
T109,724.2066
T110,724.04156
T111,728.1613
T112,728.7641
T113,728.84656
T114,728.8577
T115,728.85925
T116,728.8595
T117,728.8595
T118,728.8595
T119,721.21277
T120,727.706
T121,728.7009
T122,728.838
T123,728.8566
T124,728.85156
T125,728.8584
T126,728.8593
T127,728.8595
T128,728.69995
T129,728.83777
T130,721.28436
T131,721.1977
T132,723.0002
T133,727.99866
T134,618.807
T135,710.6916
T136,717.4649
T137,727.1777
T138,728.39886
T139,728.7963
T140,728.82294
T141,728.8545
T142,728.8588
T143,728.85944
T144,728.85944
T145,728.8595
T146,728.8595
T147,728.8595
T148,728.8595
T149,728.8595
T151,728.8595
T152,728.8595
T153,722.7818
T154,727.9633
T155,728.4036
T156,728.7973
T157,728.85095
T158,728.85834
T159,728.8593
T160,728.8592
T161,721.20624
T162,727.0033
T163,721.4737
T164,727.7496
T166,728.046
T167,728.73615
T168,618.7746
T169,704.0623
T170,725.0412
T171,720.32837
T172,727.0774
T173,720.60565
T174,727.1274
T175,728.09064
T176,728.28546
T177,728.77966
T178,728.78296
T179,728.83844
T180,721.179
T181,727.66943
T182,728.6829
T183,728.8327
T184,728.8517
T185,722.5789
T186,727.92816
T187,721.3272
T188,727.72345
T189,721.754
T190,727.78986
T191,728.71265
T192,721.1974
T193,727.70337
T194,728.7005
T195,728.83453
T196,728.85614
T197,728.859
T198,728.85944
T199,721.2021
T200,618.80817
T201,710.49603
T202,724.6475
T203,727.7796
T204,728.2934
T205,728.33295
T206,728.5677
T207,728.5876
T208,728.59174
T209,728.82275
T210,721.30536
T211,727.66534
T212,728.67444
T213,724.0386
T214,728.0721
T215,728.66754
T216,727.93176
T217,728.70746
T218,728.80585
T219,728.852
T220,728.85565
T221,721.1944
T222,727.7004
T223,728.6971
T224,728.8361
T225,724.9613
T226,721.1961
T227,727.6588
T228,728.6943
T229,728.8371
T230,728.85645
T231,728.8591
T232,612.47565
T233,697.715
T234,722.95105
T235,718.2459
T236,718.4894
T237,718.5224
T238,718.5269
T239,718.609
T240,725.0296
T241,718.529
T242,718.67303
T243,718.5278
T244,718.5444
T245,718.5278
T246,718.5296
T247,718.5278
T248,718.5278
T249,718.5335
T250,718.5278
T251,719.12305
T252,718.5278
T253,720.3597
T254,718.7591
T255,718.52875
T256,725.0337
T257,718.52783
T258,718.52985
T259,720.584
T260,725.2647
T261,720.58136
T262,718.52783
T263,725.03296
T264,612.4097
T265,697.712
T266,710.7233
T267,712.5296
T268,712.7579
T269,719.2967
T270,712.9047
T271,712.80023
T272,712.796
T273,712.7961
T274,712.7961
T275,719.3018
T276,712.7962
T277,719.3018
T278,720.2976
T279,714.3536
T280,712.79663
T281,712.7961
T282,719.28265
T283,712.7966
T284,712.7961
T285,719.2891
T286,712.7977
T287,712.7961
T288,713.47723
T289,712.7961
T290,712.7961
T291,712.7961
T292,714.90753
T293,712.7961
T294,712.7961
T295,715.9497
T296,612.40967
T297,697.649
T298,710.72107
T299,725.40985
T300,726.82196
T301,728.2216
T302,728.2424
T303,728.2496
T304,728.24945
T305,727.89386
T306,720.59326
T307,727.09674
T308,728.1889
T309,728.72144
T310,728.7415
T311,728.81226
T312,721.18225
T313,727.664
T314,728.6568
T315,728.79364
T316,728.8127
T317,728.8166
T318,722.7041
T319,727.94867
T320,727.65814
T321,728.69403
T322,728.8361
T323,723.8349
T324,725.1557
T325,728.3316
T326,728.75146
T327,721.44684
