TRIP_ID,TRAVEL_TIME
T1,721.985
T2,570.1332
T3,737.19653
T4,503.19916
T5,655.55817
T6,557.1704
T7,713.8977
T8,571.81396
T9,607.82324
T10,694.2742
T11,585.6801
T12,635.9374
T13,573.8393
T14,658.1524
T15,597.78687
T16,595.4374
T17,583.8972
T18,621.8505
T19,724.07605
T20,567.2729
T21,678.9509
T22,563.17126
T23,433.51233
T24,729.44147
T25,536.4427
T26,663.35364
T27,731.92633
T28,715.3351
T29,572.03625
T30,719.7452
T31,715.00543
T32,650.5631
T33,641.074
T34,647.8654
T35,822.15015
T36,541.8368
T37,759.392
T38,573.32697
T39,707.11566
T40,552.50195
T41,594.04663
T42,501.825
T43,745.21924
T44,544.3264
T45,574.52625
T46,564.95105
T47,653.3842
T48,560.8339
T49,578.5965
T50,537.9287
T51,731.14777
T52,639.5309
T53,546.63293
T54,735.98425
T55,809.8098
T56,535.8038
T57,640.3721
T58,544.18445
T59,834.39856
T60,586.2502
T61,806.2151
T62,536.2671
T63,510.58844
T64,750.84326
T65,597.15155
T66,638.8252
T67,698.73083
T68,525.3511
T69,625.74884
T70,531.9686
T71,571.2459
T72,887.39557
T73,716.3318
T74,517.37854
T75,545.2289
T76,815.2401
T77,521.90283
T78,642.4521
T79,658.367
T80,946.1311
T81,604.503
T82,632.71216
T83,705.266
T84,1120.8816
T85,558.8687
T86,843.723
T87,821.47705
T88,615.7772
T90,518.3312
T91,573.5194
T92,695.0192
T93,547.23413
T94,725.39026
T95,700.1903
T96,501.38873
T98,863.25323
T99,615.2351
T100,817.53076
T101,474.81848
T102,481.1139
T103,620.72437
T104,645.86145
T107,572.8722
T109,503.89447
T110,499.85754
T111,380.2397
T112,655.639
T113,506.02222
T114,649.49036
T115,748.99866
T116,391.5923
T117,694.8426
T118,600.07776
T119,579.5405
T120,816.17834
T121,706.59607
T122,563.38873
T123,584.4395
T124,647.74023
T125,606.7733
T126,527.5212
T127,784.7408
T128,532.36444
T129,550.8174
T130,499.85754
T131,822.147
T132,556.7731
T133,883.6106
T134,584.1366
T135,494.6454
T136,491.84692
T137,569.97534
T138,551.156
T139,702.0644
T140,674.05896
T141,891.94086
T142,794.0945
T143,561.1533
T144,998.7522
T145,911.01434
T146,884.2268
T147,589.78735
T148,1283.6185
T149,837.496
T151,530.4269
T152,927.86414
T153,502.4391
T154,610.1573
T155,680.1073
T156,585.6447
T157,541.86206
T158,772.0409
T159,732.8677
T160,685.7726
T161,474.91138
T162,592.05396
T163,759.5729
T164,652.36035
T166,542.2865
T167,727.2451
T168,734.57556
T169,515.35645
T170,684.7995
T171,525.3038
T172,629.9487
T173,535.2527
T174,668.6566
T175,643.75867
T176,937.7451
T177,788.96747
T178,685.1692
T179,665.15247
T180,387.2666
T181,563.46735
T182,674.80664
T183,777.4839
T184,723.17
T185,979.7634
T186,730.1093
T187,539.05676
T188,719.6107
T189,589.17065
T190,560.4998
T191,726.7577
T192,526.4338
T193,915.1579
T194,730.6915
T195,603.34546
T196,593.3138
T197,729.3461
T198,845.3014
T199,559.41174
T200,371.0564
T201,598.2355
T202,774.7012
T203,579.5954
T204,756.22485
T205,546.771
T206,550.1501
T207,613.2608
T208,545.20074
T209,735.484
T210,537.9786
T211,691.62744
T212,881.30176
T213,543.9512
T214,749.23236
T215,539.4992
T216,578.0055
T217,734.4696
T218,674.4282
T219,570.98566
T220,585.8107
T221,524.9051
T222,752.553
T223,622.28015
T224,787.62665
T225,542.05524
T226,532.9805
T227,715.8054
T228,673.3125
T229,817.8706
T230,783.5249
T231,689.1367
T232,658.2506
T233,547.10815
T234,860.47095
T235,703.02026
T236,529.25586
T237,544.2525
T238,524.3517
T239,596.6884
T240,555.5089
T241,497.03625
T242,545.7261
T243,567.6989
T244,617.88965
T245,521.9575
T246,622.86304
T247,498.98566
T248,529.76355
T249,583.993
T250,496.6194
T251,555.4661
T252,524.0392
T253,514.7304
T254,544.6536
T255,542.2301
T256,805.65704
T257,502.4931
T258,499.299
T259,580.2113
T260,720.45935
T261,538.6661
T262,499.85754
T263,640.6101
T264,569.80664
T265,545.97656
T266,737.7799
T267,580.29956
T268,602.7976
T269,568.80896
T270,542.7358
T271,696.098
T272,537.3576
T273,507.3014
T274,563.252
T275,678.9342
T276,509.91394
T277,788.5169
T278,876.08075
T279,571.6624
T280,507.2746
T281,506.2342
T282,663.1676
T283,493.67877
T284,507.4037
T285,665.41345
T286,552.2575
T287,568.5509
T288,499.13855
T289,494.3224
T290,517.1809
T291,495.23407
T292,544.4745
T293,590.9889
T294,501.26227
T295,530.93274
T296,506.82214
T297,481.85846
T298,508.00616
T299,632.25244
T300,643.4478
T301,797.75885
T302,523.59326
T303,588.0405
T304,574.37665
T305,553.76324
T306,592.8688
T307,566.9256
T308,642.4103
T309,524.01514
T310,593.6189
T311,667.80493
T312,651.80585
T313,608.9248
T314,594.9601
T315,594.91907
T316,759.00806
T317,400.97357
T318,673.1671
T319,536.1395
T320,532.3022
T321,761.25085
T322,663.15466
T323,612.42676
T324,529.4884
T325,897.62573
T326,604.3191
T327,613.65906
