TRIP_ID,TRAVEL_TIME
T1,621.0117
T2,621.0117
T3,621.0117
T4,621.0117
T5,621.0117
T7,621.0117
T9,621.0117
T10,621.0117
T11,621.0117
T19,621.0117
T21,621.0117
T24,621.0117
T25,621.0117
T26,621.0117
T27,621.0117
T28,621.0117
T29,621.0117
T30,621.0117
T31,621.0117
T32,621.0117
T38,621.0117
T39,621.0117
T40,621.0117
T41,621.0117
T44,621.0117
T45,621.0117
T46,621.0117
T49,621.0117
T50,621.0117
T51,621.0117
T52,621.0117
T53,621.0117
T54,621.0117
T55,621.0117
T56,621.0117
T57,621.0117
T58,621.0117
T61,621.0117
T65,621.0117
T66,621.0117
T67,621.0117
T70,621.0117
T73,621.0117
T75,621.0117
T77,621.0117
T82,621.0117
T85,621.0117
T90,621.0117
T96,621.0117
T103,621.0117
T104,621.0117
T109,621.0117
T110,621.0117
T112,621.0117
T113,621.0117
T114,621.0117
T118,621.0117
T122,621.0117
T123,621.0117
T125,621.0117
T130,621.0117
T135,621.0117
T136,621.0117
T137,621.0117
T142,621.0117
T143,621.0117
T147,621.0117
T149,621.0117
T153,621.0117
T155,621.0117
T156,621.0117
T162,621.0117
T163,621.0117
T166,621.0117
T167,621.0117
T171,621.0117
T173,621.0117
T177,621.0117
T178,621.0117
T179,621.0117
T181,621.0117
T182,621.0117
T184,621.0117
T188,621.0117
T189,621.0117
T192,621.0117
T195,621.0117
T196,621.0117
T199,621.0117
T202,621.0117
T205,621.0117
T207,621.0117
T210,621.0117
T213,621.0117
T214,621.0117
T218,621.0117
T219,621.0117
T221,621.0117
T222,621.0117
T224,621.0117
T225,621.0117
T226,621.0117
T227,621.0117
T232,621.0117
T233,621.0117
T236,621.0117
T238,621.0117
T247,621.0117
T250,621.0117
T254,621.0117
T257,621.0117
T258,621.0117
T262,621.0117
T273,621.0117
T281,621.0117
T283,621.0117
T284,621.0117
T291,621.0117
T298,621.0117
T303,621.0117
T305,621.0117
T318,621.0117
T324,621.0117
