TRIP_ID,TRAVEL_TIME
T12,668.5831
T13,668.5831
T14,668.5831
T15,668.5831
T16,668.5831
T17,668.5831
T18,668.5831
T20,668.5831
T33,668.5831
T34,668.5831
T35,668.5831
T36,668.5831
T42,668.5831
T43,668.5831
T47,668.5831
T48,668.5831
T59,668.5831
T62,668.5831
T63,668.5831
T69,668.5831
T71,668.5831
T72,668.5831
T74,668.5831
T76,668.5831
T78,668.5831
T79,668.5831
T80,668.5831
T87,668.5831
T88,668.5831
T93,668.5831
T94,668.5831
T98,668.5831
T102,668.5831
T107,668.5831
T121,668.5831
T124,668.5831
T131,668.5831
T132,668.5831
T134,668.5831
T138,668.5831
T139,668.5831
T140,668.5831
T141,668.5831
T146,668.5831
T154,668.5831
T159,668.5831
T161,668.5831
T169,668.5831
T174,668.5831
T176,668.5831
T180,668.5831
T183,668.5831
T191,668.5831
T193,668.5831
T197,668.5831
T201,668.5831
T203,668.5831
T204,668.5831
T206,668.5831
T208,668.5831
T211,668.5831
T212,668.5831
T217,668.5831
T220,668.5831
T228,668.5831
T229,668.5831
T231,668.5831
T234,668.5831
T237,668.5831
T239,668.5831
T240,668.5831
T241,668.5831
T242,668.5831
T243,668.5831
T244,668.5831
T245,668.5831
T246,668.5831
T248,668.5831
T249,668.5831
T252,668.5831
T253,668.5831
T255,668.5831
T256,668.5831
T259,668.5831
T261,668.5831
T263,668.5831
T264,668.5831
T265,668.5831
T266,668.5831
T267,668.5831
T268,668.5831
T269,668.5831
T270,668.5831
T271,668.5831
T272,668.5831
T274,668.5831
T275,668.5831
T276,668.5831
T277,668.5831
T278,668.5831
T279,668.5831
T280,668.5831
T282,668.5831
T285,668.5831
T286,668.5831
T287,668.5831
T288,668.5831
T289,668.5831
T290,668.5831
T292,668.5831
T294,668.5831
T295,668.5831
T296,668.5831
T297,668.5831
T299,668.5831
T301,668.5831
T306,668.5831
T307,668.5831
T308,668.5831
T309,668.5831
T311,668.5831
T316,668.5831
T321,668.5831
T322,668.5831
T325,668.5831
