TRIP_ID,TRAVEL_TIME
T1,743.5904
T2,743.5904
T3,743.5904
T4,743.5904
T5,743.5904
T6,743.5904
T7,743.5904
T8,743.5904
T9,743.5904
T10,743.5904
T11,743.5904
T12,743.5904
T13,743.5904
T14,743.5904
T15,743.5904
T16,743.5904
T17,743.5904
T18,743.5904
T19,743.5904
T20,743.5904
T21,743.5904
T22,743.5904
T23,743.5904
T24,743.5904
T25,743.5904
T26,743.5904
T27,743.5904
T28,743.5904
T29,743.5904
T30,743.5904
T31,743.5904
T32,743.5904
T33,743.5904
T34,743.5904
T35,743.5904
T36,743.5904
T37,743.5904
T38,743.5904
T39,743.5904
T40,743.5904
T41,743.5904
T42,743.5904
T43,743.5904
T44,743.5904
T45,743.5904
T46,743.5904
T47,743.5904
T48,743.5904
T49,743.5904
T50,743.5904
T51,743.5904
T52,743.5904
T53,743.5904
T54,743.5904
T55,743.5904
T56,743.5904
T57,743.5904
T58,743.5904
T59,743.5904
T60,743.5904
T61,743.5904
T62,743.5904
T63,743.5904
T64,743.5904
T65,743.5904
T66,743.5904
T67,743.5904
T68,743.5904
T69,743.5904
T70,743.5904
T71,743.5904
T72,743.5904
T73,743.5904
T74,743.5904
T75,743.5904
T76,743.5904
T77,743.5904
T78,743.5904
T79,743.5904
T80,743.5904
T81,743.5904
T82,743.5904
T83,743.5904
T84,743.5904
T85,743.5904
T86,743.5904
T87,743.5904
T88,743.5904
T90,743.5904
T91,743.5904
T92,743.5904
T93,743.5904
T94,743.5904
T95,743.5904
T96,743.5904
T98,743.5904
T99,743.5904
T100,743.5904
T101,743.5904
T102,743.5904
T103,743.5904
T104,743.5904
T107,743.5904
T109,743.5904
T110,743.5904
T111,743.5904
T112,743.5904
T113,743.5904
T114,743.5904
T115,743.5904
T116,743.5904
T117,743.5904
T118,743.5904
T119,743.5904
T120,743.5904
T121,743.5904
T122,743.5904
T123,743.5904
T124,743.5904
T125,743.5904
T126,743.5904
T127,743.5904
T128,743.5904
T129,743.5904
T130,743.5904
T131,743.5904
T132,743.5904
T133,743.5904
T134,743.5904
T135,743.5904
T136,743.5904
T137,743.5904
T138,743.5904
T139,743.5904
T140,743.5904
T141,743.5904
T142,743.5904
T143,743.5904
T144,743.5904
T145,743.5904
T146,743.5904
T147,743.5904
T148,743.5904
T149,743.5904
T151,743.5904
T152,743.5904
T153,743.5904
T154,743.5904
T155,743.5904
T156,743.5904
T157,743.5904
T158,743.5904
T159,743.5904
T160,743.5904
T161,743.5904
T162,743.5904
T163,743.5904
T164,743.5904
T166,743.5904
T167,743.5904
T168,743.5904
T169,743.5904
T170,743.5904
T171,743.5904
T172,743.5904
T173,743.5904
T174,743.5904
T175,743.5904
T176,743.5904
T177,743.5904
T178,743.5904
T179,743.5904
T180,743.5904
T181,743.5904
T182,743.5904
T183,743.5904
T184,743.5904
T185,743.5904
T186,743.5904
T187,743.5904
T188,743.5904
T189,743.5904
T190,743.5904
T191,743.5904
T192,743.5904
T193,743.5904
T194,743.5904
T195,743.5904
T196,743.5904
T197,743.5904
T198,743.5904
T199,743.5904
T200,743.5904
T201,743.5904
T202,743.5904
T203,743.5904
T204,743.5904
T205,743.5904
T206,743.5904
T207,743.5904
T208,743.5904
T209,743.5904
T210,743.5904
T211,743.5904
T212,743.5904
T213,743.5904
T214,743.5904
T215,743.5904
T216,743.5904
T217,743.5904
T218,743.5904
T219,743.5904
T220,743.5904
T221,743.5904
T222,743.5904
T223,743.5904
T224,743.5904
T225,743.5904
T226,743.5904
T227,743.5904
T228,743.5904
T229,743.5904
T230,743.5904
T231,743.5904
T232,743.5904
T233,743.5904
T234,743.5904
T235,743.5904
T236,743.5904
T237,743.5904
T238,743.5904
T239,743.5904
T240,743.5904
T241,743.5904
T242,743.5904
T243,743.5904
T244,743.5904
T245,743.5904
T246,743.5904
T247,743.5904
T248,743.5904
T249,743.5904
T250,743.5904
T251,743.5904
T252,743.5904
T253,743.5904
T254,743.5904
T255,743.5904
T256,743.5904
T257,743.5904
T258,743.5904
T259,743.5904
T260,743.5904
T261,743.5904
T262,743.5904
T263,743.5904
T264,743.5904
T265,743.5904
T266,743.5904
T267,743.5904
T268,743.5904
T269,743.5904
T270,743.5904
T271,743.5904
T272,743.5904
T273,743.5904
T274,743.5904
T275,743.5904
T276,743.5904
T277,743.5904
T278,743.5904
T279,743.5904
T280,743.5904
T281,743.5904
T282,743.5904
T283,743.5904
T284,743.5904
T285,743.5904
T286,743.5904
T287,743.5904
T288,743.5904
T289,743.5904
T290,743.5904
T291,743.5904
T292,743.5904
T293,743.5904
T294,743.5904
T295,743.5904
T296,743.5904
T297,743.5904
T298,743.5904
T299,743.5904
T300,743.5904
T301,743.5904
T302,743.5904
T303,743.5904
T304,743.5904
T305,743.5904
T306,743.5904
T307,743.5904
T308,743.5904
T309,743.5904
T310,743.5904
T311,743.5904
T312,743.5904
T313,743.5904
T314,743.5904
T315,743.5904
T316,743.5904
T317,743.5904
T318,743.5904
T319,743.5904
T320,743.5904
T321,743.5904
T322,743.5904
T323,743.5904
T324,743.5904
T325,743.5904
T326,743.5904
T327,743.5904
