TRIP_ID,TRAVEL_TIME
T1,610.7955
T2,610.7955
T3,610.7955
T4,610.7955
T5,610.7955
T6,610.7955
T7,610.7955
T8,610.7955
T9,610.7955
T10,610.7955
T11,610.7955
T12,610.7955
T13,610.7955
T14,610.7955
T15,610.7955
T16,610.7955
T17,610.7955
T18,610.7955
T19,610.7955
T20,610.7955
T21,610.7955
T22,610.7955
T23,610.7955
T24,610.7955
T25,610.7955
T26,610.7955
T27,610.7955
T28,610.7955
T29,610.7955
T30,610.7955
T31,610.7955
T32,610.7955
T33,610.7955
T34,610.7955
T35,610.7955
T36,610.7955
T37,610.7955
T38,610.7955
T39,610.7955
T40,610.7955
T41,610.7955
T42,610.7955
T43,610.7955
T44,610.7955
T45,610.7955
T46,610.7955
T47,610.7955
T48,610.7955
T49,610.7955
T50,610.7955
T51,610.7955
T52,610.7955
T53,610.7955
T54,610.7955
T55,610.7955
T56,610.7955
T57,610.7955
T58,610.7955
T59,610.7955
T60,610.7955
T61,610.7955
T62,610.7955
T63,610.7955
T64,610.7955
T65,610.7955
T66,610.7955
T67,610.7955
T68,610.7955
T69,610.7955
T70,610.7955
T71,610.7955
T72,610.7955
T73,610.7955
T74,610.7955
T75,610.7955
T76,610.7955
T77,610.7955
T78,610.7955
T79,610.7955
T80,610.7955
T81,610.7955
T82,610.7955
T83,610.7955
T84,610.7955
T85,610.7955
T86,610.7955
T87,610.7955
T88,610.7955
T90,610.7955
T91,610.7955
T92,610.7955
T93,610.7955
T94,610.7955
T95,610.7955
T96,610.7955
T98,610.7955
T99,610.7955
T100,610.7955
T101,610.7955
T102,610.7955
T103,610.7955
T104,610.7955
T107,610.7955
T109,610.7955
T110,610.7955
T111,610.7955
T112,610.7955
T113,610.7955
T114,610.7955
T115,610.7955
T116,610.7955
T117,610.7955
T118,610.7955
T119,610.7955
T120,610.7955
T121,610.7955
T122,610.7955
T123,610.7955
T124,610.7955
T125,610.7955
T126,610.7955
T127,610.7955
T128,610.7955
T129,610.7955
T130,610.7955
T131,610.7955
T132,610.7955
T133,610.7955
T134,610.7955
T135,610.7955
T136,610.7955
T137,610.7955
T138,610.7955
T139,610.7955
T140,610.7955
T141,610.7955
T142,610.7955
T143,610.7955
T144,610.7955
T145,610.7955
T146,610.7955
T147,610.7955
T148,610.7955
T149,610.7955
T151,610.7955
T152,610.7955
T153,610.7955
T154,610.7955
T155,610.7955
T156,610.7955
T157,610.7955
T158,610.7955
T159,610.7955
T160,610.7955
T161,610.7955
T162,610.7955
T163,610.7955
T164,610.7955
T166,610.7955
T167,610.7955
T168,610.7955
T169,610.7955
T170,610.7955
T171,610.7955
T172,610.7955
T173,610.7955
T174,610.7955
T175,610.7955
T176,610.7955
T177,610.7955
T178,610.7955
T179,610.7955
T180,610.7955
T181,610.7955
T182,610.7955
T183,610.7955
T184,610.7955
T185,610.7955
T186,610.7955
T187,610.7955
T188,610.7955
T189,610.7955
T190,610.7955
T191,610.7955
T192,610.7955
T193,610.7955
T194,610.7955
T195,610.7955
T196,610.7955
T197,610.7955
T198,610.7955
T199,610.7955
T200,610.7955
T201,610.7955
T202,610.7955
T203,610.7955
T204,610.7955
T205,610.7955
T206,610.7955
T207,610.7955
T208,610.7955
T209,610.7955
T210,610.7955
T211,610.7955
T212,610.7955
T213,610.7955
T214,610.7955
T215,610.7955
T216,610.7955
T217,610.7955
T218,610.7955
T219,610.7955
T220,610.7955
T221,610.7955
T222,610.7955
T223,610.7955
T224,610.7955
T225,610.7955
T226,610.7955
T227,610.7955
T228,610.7955
T229,610.7955
T230,610.7955
T231,610.7955
T232,610.7955
T233,610.7955
T234,610.7955
T235,610.7955
T236,610.7955
T237,610.7955
T238,610.7955
T239,610.7955
T240,610.7955
T241,610.7955
T242,610.7955
T243,610.7955
T244,610.7955
T245,610.7955
T246,610.7955
T247,610.7955
T248,610.7955
T249,610.7955
T250,610.7955
T251,610.7955
T252,610.7955
T253,610.7955
T254,610.7955
T255,610.7955
T256,610.7955
T257,610.7955
T258,610.7955
T259,610.7955
T260,610.7955
T261,610.7955
T262,610.7955
T263,610.7955
T264,610.7955
T265,610.7955
T266,610.7955
T267,610.7955
T268,610.7955
T269,610.7955
T270,610.7955
T271,610.7955
T272,610.7955
T273,610.7955
T274,610.7955
T275,610.7955
T276,610.7955
T277,610.7955
T278,610.7955
T279,610.7955
T280,610.7955
T281,610.7955
T282,610.7955
T283,610.7955
T284,610.7955
T285,610.7955
T286,610.7955
T287,610.7955
T288,610.7955
T289,610.7955
T290,610.7955
T291,610.7955
T292,610.7955
T293,610.7955
T294,610.7955
T295,610.7955
T296,610.7955
T297,610.7955
T298,610.7955
T299,610.7955
T300,610.7955
T301,610.7955
T302,610.7955
T303,610.7955
T304,610.7955
T305,610.7955
T306,610.7955
T307,610.7955
T308,610.7955
T309,610.7955
T310,610.7955
T311,610.7955
T312,610.7955
T313,610.7955
T314,610.7955
T315,610.7955
T316,610.7955
T317,610.7955
T318,610.7955
T319,610.7955
T320,610.7955
T321,610.7955
T322,610.7955
T323,610.7955
T324,610.7955
T325,610.7955
T326,610.7955
T327,610.7955
