TRIP_ID,TRAVEL_TIME
T1,703.72546
T2,703.72546
T3,703.72546
T4,703.72546
T5,703.72546
T6,703.7252
T7,703.72546
T8,703.7252
T9,703.72546
T10,703.72546
T11,703.72546
T12,703.7252
T13,703.7252
T14,703.7252
T15,703.7252
T16,703.7252
T17,703.7252
T18,703.7252
T19,703.72546
T20,703.7252
T21,703.72546
T22,703.7252
T23,703.7252
T24,703.72546
T25,703.72546
T26,703.72546
T27,703.72546
T28,703.72546
T29,703.72546
T30,703.72546
T31,703.72546
T32,703.72546
T33,703.7252
T34,703.7252
T35,703.7252
T36,703.7252
T37,703.7252
T38,703.72546
T39,703.72546
T40,703.72546
T41,703.72546
T42,703.7252
T43,703.7252
T44,703.72546
T45,703.72546
T46,703.72546
T47,703.7252
T48,703.7252
T49,703.72546
T50,703.72546
T51,703.72546
T52,703.72546
T53,703.72546
T54,703.72546
T55,703.72546
T56,703.72546
T57,703.72546
T58,703.72546
T59,703.7252
T60,703.7252
T61,703.72546
T62,703.7252
T63,703.7252
T64,703.7252
T65,703.72546
T66,703.72546
T67,703.72546
T68,703.7252
T69,703.7252
T70,703.72546
T71,703.7252
T72,703.7252
T73,703.72546
T74,703.7252
T75,703.7255
T76,703.7252
T77,703.7255
T78,703.7252
T79,703.7252
T80,703.7252
T81,703.7252
T82,703.7255
T83,703.7252
T84,703.7252
T85,703.7255
T86,703.7252
T87,703.7252
T88,703.7252
T90,703.7255
T91,703.7252
T92,703.7252
T93,703.7252
T94,703.7252
T95,703.7252
T96,703.7255
T98,703.7252
T99,703.7252
T100,703.7252
T101,703.7252
T102,703.7252
T103,703.7255
T104,703.7255
T107,703.7252
T109,703.7255
T110,703.7255
T111,703.7252
T112,703.7255
T113,703.7255
T114,703.7255
T115,703.7252
T116,703.7252
T117,703.7252
T118,703.7255
T119,703.7252
T120,703.7252
T121,703.7252
T122,703.7255
T123,703.7255
T124,703.7252
T125,703.7255
T126,703.7252
T127,703.7252
T128,703.7252
T129,703.7252
T130,703.7255
T131,703.7252
T132,703.7252
T133,703.7252
T134,703.7252
T135,703.7255
T136,703.7255
T137,703.7255
T138,703.7252
T139,703.7252
T140,703.7252
T141,703.7252
T142,703.7255
T143,703.7255
T144,703.7252
T145,703.7252
T146,703.7252
T147,703.7255
T148,703.7252
T149,703.7255
T151,703.7252
T152,703.7252
T153,703.7255
T154,703.7252
T155,703.7255
T156,703.7255
T157,703.7252
T158,703.7252
T159,703.7252
T160,703.7252
T161,703.7252
T162,703.72534
T163,703.72534
T164,703.7252
T166,703.72534
T167,703.72534
T168,703.7252
T169,703.7252
T170,703.7252
T171,703.72534
T172,703.7252
T173,703.72534
T174,703.7252
T175,703.7252
T176,703.7252
T177,703.72534
T178,703.72534
T179,703.72534
T180,703.7252
T181,703.72534
T182,703.72534
T183,703.7252
T184,703.72534
T185,703.7252
T186,703.7252
T187,703.7252
T188,703.72534
T189,703.72534
T190,703.7252
T191,703.7252
T192,703.72534
T193,703.7252
T194,703.7252
T195,703.72534
T196,703.72534
T197,703.7252
T198,703.7252
T199,703.72534
T200,703.7252
T201,703.7252
T202,703.72534
T203,703.7252
T204,703.7252
T205,703.72534
T206,703.7252
T207,703.72534
T208,703.7252
T209,703.7252
T210,703.72534
T211,703.7252
T212,703.7252
T213,703.72534
T214,703.72534
T215,703.7252
T216,703.7252
T217,703.7252
T218,703.72534
T219,703.72534
T220,703.7252
T221,703.72534
T222,703.72534
T223,703.7252
T224,703.7254
T225,703.72534
T226,703.72534
T227,703.72534
T228,703.7252
T229,703.7252
T230,703.7252
T231,703.7252
T232,703.72534
T233,703.72534
T234,703.7252
T235,703.7252
T236,703.7261
T237,703.72534
T238,703.7261
T239,703.72534
T240,703.72534
T241,703.72534
T242,703.72534
T243,703.72534
T244,703.72534
T245,703.72534
T246,703.72534
T247,703.7261
T248,703.72534
T249,703.72534
T250,703.7261
T251,703.72534
T252,703.72534
T253,703.72534
T254,703.7261
T255,703.72534
T256,703.72534
T257,703.7261
T258,703.7261
T259,703.72534
T260,703.72534
T261,703.72534
T262,703.7261
T263,703.72534
T264,703.72534
T265,703.72534
T266,703.72534
T267,703.72534
T268,703.72534
T269,703.72534
T270,703.72534
T271,703.72534
T272,703.72534
T273,703.7261
T274,703.72534
T275,703.72534
T276,703.72534
T277,703.72534
T278,703.72534
T279,703.72534
T280,703.72534
T281,703.7261
T282,703.72534
T283,703.7261
T284,703.7261
T285,703.72534
T286,703.72534
T287,703.72534
T288,703.72534
T289,703.72534
T290,703.72534
T291,703.7261
T292,703.72534
T293,703.72534
T294,703.72534
T295,703.72534
T296,703.72534
T297,703.72534
T298,703.7259
T299,703.72534
T300,703.72534
T301,703.7253
T302,703.72534
T303,703.7259
T304,703.72534
T305,703.7259
T306,703.7253
T307,703.7253
T308,703.7253
T309,703.72534
T310,703.72534
T311,703.7253
T312,703.72534
T313,703.72534
T314,703.72534
T315,703.72534
T316,703.7253
T317,703.72534
T318,703.7259
T319,703.72534
T320,703.72534
T321,703.72534
T322,703.7253
T323,703.72534
T324,703.7259
T325,703.7253
T326,703.72534
T327,703.72534
