TRIP_ID,TRAVEL_TIME
T1,479405011488.75195
T2,479405011488.75195
T3,479405011488.75195
T4,479405011488.75195
T5,479405011488.75195
T6,479405011574.3574
T7,479405011488.75195
T8,479405011574.3574
T9,479405011488.75195
T10,479405011488.75195
T11,479405011488.75195
T12,479405011640.55273
T13,479405011640.55273
T14,479405011640.55273
T15,479405011640.55273
T16,479405011640.55273
T17,479405011640.55273
T18,479405011640.55273
T19,479405011488.75195
T20,479405011640.55273
T21,479405011488.75195
T22,479405011574.3574
T23,479405011574.3574
T24,479405011488.75195
T25,479405011488.75195
T26,479405011488.75195
T27,479405011488.75195
T28,479405011488.75195
T29,479405011488.75195
T30,479405011488.75195
T31,479405011488.75195
T32,479405011488.75195
T33,479405011640.55273
T34,479405011640.55273
T35,479405011640.55273
T36,479405011640.55273
T37,479405011574.3574
T38,479405011488.75195
T39,479405011488.75195
T40,479405011488.75195
T41,479405011488.75195
T42,479405011640.55273
T43,479405011640.55273
T44,479405011488.75195
T45,479405011488.75195
T46,479405011488.75195
T47,479405011640.55273
T48,479405011640.55273
T49,479405011488.75195
T50,479405011488.75195
T51,479405011488.75195
T52,479405011488.75195
T53,479405011488.75195
T54,479405011488.75195
T55,479405011488.75195
T56,479405011488.75195
T57,479405011488.75195
T58,479405011488.75195
T59,479405011640.55273
T60,479405011574.3574
T61,479405011488.75195
T62,479405011640.55273
T63,479405011640.55273
T64,479405011574.3574
T65,479405011488.75195
T66,479405011488.75195
T67,479405011488.75195
T68,479405011574.3574
T69,479405011640.55273
T70,479405011488.75195
T71,479405011619.8457
T72,479405011640.55273
T73,479405011488.75195
T74,479405011640.55273
T75,479405011453.625
T76,479405011605.42676
T77,479405011453.625
T78,479405011605.42676
T79,479405011605.42676
T80,479405011605.42676
T81,479405011539.23145
T82,479405011453.625
T83,479405011539.23145
T84,479405011539.23145
T85,479405011453.625
T86,479405011539.23145
T87,479405011605.42676
T88,479405011605.42676
T90,479405011453.625
T91,479405011539.23145
T92,479405011539.23145
T93,479405011605.42676
T94,479405011605.42676
T95,479405011539.23145
T96,479405011419.5283
T98,479405011571.3291
T99,479405011539.23145
T100,479405011539.23145
T101,479405011539.23145
T102,479405011605.42676
T103,479405011453.625
T104,479405011453.625
T107,479405011605.42676
T109,479405011453.625
T110,479405011453.625
T111,479405011539.23145
T112,479405011453.625
T113,479405011453.625
T114,479405011453.625
T115,479405011539.23145
T116,479405011539.23145
T117,479405011539.23145
T118,479405011453.625
T119,479405011539.23145
T120,479405011539.23145
T121,479405011605.42676
T122,479405011453.625
T123,479405011419.5283
T124,479405011605.42676
T125,479405011453.625
T126,479405011539.23145
T127,479405011539.23145
T128,479405011539.23145
T129,479405011539.23145
T130,479405011453.625
T131,479405011467.1416
T132,479405011605.42676
T133,479405011539.23145
T134,479405011605.42676
T135,479405011453.625
T136,479405011453.625
T137,479405011453.625
T138,479405011571.3291
T139,479405011605.42676
T140,479405011605.42676
T141,479405011605.42676
T142,479405011453.625
T143,479405011453.625
T144,479405011539.23145
T145,479405011539.23145
T146,479405011605.42676
T147,479405011453.625
T148,479405011539.23145
T149,479405011419.5283
T151,479405011539.23145
T152,479405011539.23145
T153,479405011453.625
T154,479405011605.42676
T155,479405011453.625
T156,479405011453.625
T157,479405011539.23145
T158,479405011647.49414
T159,479405011713.68945
T160,479405011647.49414
T161,479405011713.68945
T162,479405011561.8887
T163,479405011561.8887
T164,479405011647.49414
T166,479405011561.8887
T167,479405011561.8887
T168,479405011647.49414
T169,479405011713.68945
T170,479405011647.49414
T171,479405011561.8887
T172,479405011647.49414
T173,479405011561.8887
T174,479405011692.9824
T175,479405011647.49414
T176,479405011713.68945
T177,479405011561.8887
T178,479405011561.8887
T179,479405011561.8887
T180,479405011713.68945
T181,479405011561.8887
T182,479405011561.8887
T183,479405011713.68945
T184,479405011561.8887
T185,479405011647.49414
T186,479405011647.49414
T187,479405011647.49414
T188,479405011561.8887
T189,479405011561.8887
T190,479405011647.49414
T191,479405011713.68945
T192,479405011561.8887
T193,479405011713.68945
T194,479405011647.49414
T195,479405011561.8887
T196,479405011561.8887
T197,479405011692.9824
T198,479405011647.49414
T199,479405011561.8887
T200,479405011647.49414
T201,479405011713.68945
T202,479405011561.8887
T203,479405011713.68945
T204,479405011713.68945
T205,479405011561.8887
T206,479405011692.9824
T207,479405011561.8887
T208,479405011669.63086
T209,479405011647.49414
T210,479405011561.8887
T211,479405011713.68945
T212,479405011713.68945
T213,479405011561.8887
T214,479405011561.8887
T215,479405011647.49414
T216,479405011647.49414
T217,479405011713.68945
T218,479405011561.8887
T219,479405011561.8887
T220,479405011713.68945
T221,479405011561.8887
T222,479405011561.8887
T223,479405011647.49414
T224,479405011541.18164
T225,479405011561.8887
T226,479405011561.8887
T227,479405011561.8887
T228,479405011692.9824
T229,479405011713.68945
T230,479405011626.7871
T231,479405011713.68945
T232,479405011561.8887
T233,479405011561.8887
T234,479405011713.68945
T235,479405011647.49414
T236,479405011251.86523
T237,479405011403.667
T238,479405011251.86523
T239,479405011403.667
T240,479405011403.667
T241,479405011403.667
T242,479405011403.667
T243,479405011403.667
T244,479405011403.667
T245,479405011403.667
T246,479405011403.667
T247,479405011251.86523
T248,479405011403.667
T249,479405011403.667
T250,479405011251.86523
T251,479405011337.4717
T252,479405011403.667
T253,479405011403.667
T254,479405011251.86523
T255,479405011403.667
T256,479405011403.667
T257,479405011251.86523
T258,479405011251.86523
T259,479405011403.667
T260,479405011337.4717
T261,479405011403.667
T262,479405011251.86523
T263,479405011403.667
T264,479405011403.667
T265,479405011403.667
T266,479405011403.667
T267,479405011403.667
T268,479405011403.667
T269,479405011403.667
T270,479405011403.667
T271,479405011403.667
T272,479405011403.667
T273,479405011251.86523
T274,479405011403.667
T275,479405011403.667
T276,479405011403.667
T277,479405011403.667
T278,479405011403.667
T279,479405011403.667
T280,479405011403.667
T281,479405011251.86523
T282,479405011403.667
T283,479405011251.86523
T284,479405011251.86523
T285,479405011403.667
T286,479405011403.667
T287,479405011403.667
T288,479405011384.3262
T289,479405011403.667
T290,479405011403.667
T291,479405011251.86523
T292,479405011403.667
T293,479405011337.4717
T294,479405011403.667
T295,479405011403.667
T296,479405011403.667
T297,479405011403.667
T298,479405011402.19727
T299,479405011513.6846
T300,479405011487.80273
T301,479405011553.99805
T302,479405011487.80273
T303,479405011402.19727
T304,479405011487.80273
T305,479405011402.19727
T306,479405011553.99805
T307,479405011553.99805
T308,479405011541.70605
T309,479405011526.7217
T310,479405011487.80273
T311,479405011541.70605
T312,479405011487.80273
T313,479405011487.80273
T314,479405011487.80273
T315,479405011487.80273
T316,479405011553.99805
T317,479405011487.80273
T318,479405011402.19727
T319,479405011487.80273
T320,479405011447.48926
T321,479405011526.7217
T322,479405011553.99805
T323,479405011487.80273
T324,479405011402.19727
T325,479405011553.99805
T326,479405011487.80273
T327,479405011487.80273
