TRIP_ID,TRAVEL_TIME
T6,714.7092
T8,864.9425
T22,896.4933
T23,630.41626
T37,976.38855
T60,892.18604
T64,960.9797
T68,846.9362
T81,839.1844
T83,839.1844
T84,1103.7281
T86,920.5208
T91,806.83167
T92,849.76807
T95,835.97675
T99,854.49664
T100,829.1178
T101,651.8639
T111,555.4215
T115,849.76807
T116,585.8909
T117,909.8052
T119,656.053
T120,918.9725
T126,779.34766
T127,866.8749
T128,778.0706
T129,789.9532
T133,915.05096
T144,1115.963
T145,1088.1871
T148,1172.1791
T151,777.9272
T152,820.9639
T157,778.0706
T158,977.46063
T160,909.47504
T164,928.42377
T168,1024.2618
T170,882.194
T172,910.5758
T175,920.6938
T185,1160.9832
T186,937.3896
T187,920.6938
T190,876.72217
T194,989.63324
T198,1069.0037
T200,648.0782
T209,906.73
T215,909.4533
T216,770.38544
T223,920.4395
T230,976.4197
T235,969.3471
T251,826.5712
T260,830.3797
T293,803.4774
T300,739.07904
T302,748.49646
T304,736.81665
T310,780.9001
T312,721.1008
T313,738.1572
T314,698.4728
T315,777.1738
T317,554.6309
T319,770.2335
T320,753.2936
T323,720.68256
T326,745.42444
T327,763.1316
