TRIP_ID,TRAVEL_TIME
T1,800.09485
T2,757.14374
T3,736.33105
T4,690.2978
T5,728.20233
T7,810.7906
T9,708.4868
T10,801.4065
T11,743.1565
T19,800.50714
T21,798.19403
T24,796.3238
T25,735.5537
T26,712.05237
T27,797.95764
T28,811.69824
T29,741.60693
T30,799.5802
T31,743.22064
T32,773.22614
T38,744.99347
T39,776.3942
T40,721.54425
T41,750.3761
T44,718.3927
T45,688.7012
T46,688.1108
T49,758.1885
T50,707.8377
T51,770.4675
T52,747.263
T53,688.1883
T54,823.0923
T55,822.4028
T56,723.51013
T57,719.84985
T58,689.3831
T61,797.2446
T65,725.4368
T66,754.922
T67,796.6754
T70,678.0511
T73,802.62354
T75,658.3582
T77,643.5986
T82,675.6246
T85,641.38605
T90,655.47125
T96,628.64355
T103,698.7229
T104,760.1467
T109,601.5046
T110,592.1991
T112,721.1789
T113,648.82446
T114,759.92725
T118,700.95447
T122,662.34344
T123,746.61304
T125,701.90015
T130,600.4043
T135,601.8216
T136,592.25665
T137,697.08704
T142,824.0515
T143,676.7127
T147,673.2903
T149,868.6741
T153,642.53156
T155,698.1081
T156,684.06287
T162,791.6675
T163,835.7915
T166,764.3408
T167,856.4894
T171,727.8951
T173,736.06244
T177,870.2013
T178,816.3465
T179,809.4232
T181,748.7882
T182,825.5463
T184,857.417
T188,830.649
T189,832.195
T192,757.01434
T195,826.296
T196,841.3661
T199,761.0181
T202,812.8458
T205,784.386
T207,762.8782
T210,755.05023
T213,729.9901
T214,882.6331
T218,822.14813
T219,797.51154
T221,753.29926
T222,850.5818
T224,866.56964
T225,752.5368
T226,731.98096
T227,853.27954
T232,795.39215
T233,734.43994
T236,581.9304
T238,579.92316
T247,541.8283
T250,487.65573
T254,586.4904
T257,568.0706
T258,551.84564
T262,566.5743
T273,567.9745
T281,494.45074
T283,533.35236
T284,566.9298
T291,548.1682
T298,609.1705
T303,658.9971
T305,674.6943
T318,588.40845
T324,628.3879
