TRIP_ID,TRAVEL_TIME
T12,794.0987
T13,887.36194
T14,892.4766
T15,780.0899
T16,847.3596
T17,817.002
T18,813.7725
T20,807.1594
T33,765.7505
T34,810.3932
T35,959.55164
T36,754.3093
T42,753.9718
T43,811.8507
T47,805.26324
T48,807.6617
T59,956.5828
T62,754.3093
T63,754.3093
T69,806.1593
T71,806.5676
T72,946.2331
T74,765.7505
T76,877.4943
T78,855.1577
T79,790.1731
T80,1045.0016
T87,866.2832
T88,776.04266
T93,757.9488
T94,863.0758
T98,1059.2771
T102,739.611
T107,776.6454
T121,849.0559
T124,855.4667
T131,912.6475
T132,740.5321
T134,772.3312
T138,762.38855
T139,880.0373
T140,880.0343
T141,1024.8287
T146,1014.161
T154,814.8226
T159,912.8111
T161,724.10516
T169,743.9448
T174,791.6064
T176,996.4147
T180,537.30383
T183,930.8515
T191,935.8869
T193,991.4753
T197,899.8936
T201,756.5633
T203,773.288
T204,792.801
T206,749.90796
T208,742.7852
T211,785.4725
T212,938.76984
T217,930.8515
T220,724.17126
T228,806.6775
T229,930.8515
T231,916.7594
T234,961.8179
T237,623.9496
T239,634.2952
T240,566.43787
T241,551.4983
T242,623.76575
T243,620.5168
T244,631.1804
T245,563.2483
T246,645.86206
T248,587.86096
T249,623.85583
T252,587.3424
T253,579.16815
T255,571.083
T256,710.9972
T259,640.0349
T261,587.1499
T263,631.85583
T264,624.0569
T265,624.0569
T266,711.77594
T267,646.7014
T268,646.93176
T269,623.0637
T270,618.5992
T271,649.32117
T272,616.8158
T274,623.76575
T275,659.1321
T276,563.2483
T277,711.7485
T278,703.07214
T279,625.3319
T280,566.43787
T282,647.0044
T285,657.9564
T286,620.58954
T287,558.52747
T288,556.35626
T289,548.4784
T290,564.6902
T292,578.2503
T294,553.9484
T295,619.6042
T296,587.3424
T297,547.2801
T299,678.5805
T301,718.9793
T306,627.42096
T307,628.22687
T308,655.70264
T309,594.25714
T311,696.9156
T316,681.3684
T321,699.45294
T322,679.7489
T325,731.43225
