TRIP_ID,TRAVEL_TIME
T6,761.4928
T8,1013.8315
T22,808.2287
T23,531.9501
T37,980.527
T60,639.64795
T64,898.02795
T68,737.748
T81,531.90295
T83,540.27466
T84,820.31195
T86,685.63477
T91,1164.7345
T92,827.959
T95,814.906
T99,1093.4086
T100,790.87604
T101,683.3808
T111,479.7624
T115,856.17126
T116,430.8374
T117,849.3085
T119,652.6039
T120,882.2019
T126,730.3063
T127,618.01965
T128,543.5394
T129,718.8259
T133,838.60254
T144,1076.8894
T145,1009.76575
T148,1568.4489
T151,862.6367
T152,738.29346
T157,716.473
T158,866.1398
T160,758.9227
T164,1311.0803
T168,912.2378
T170,763.07947
T172,794.24426
T175,605.55865
T185,1459.0237
T186,673.4512
T187,755.9668
T190,757.1005
T194,870.24225
T198,922.99963
T200,887.0297
T209,1058.1342
T215,680.09216
T216,848.2123
T223,788.75397
T230,902.2041
T235,827.6616
T251,708.33057
T260,747.37244
T293,634.0889
T300,509.8083
T302,615.86957
T304,553.1061
T310,696.94226
T312,795.8511
T313,664.4314
T314,614.3824
T315,1646.8632
T317,397.58026
T319,687.83795
T320,656.4599
T323,642.73267
T326,626.0004
T327,1364.8523
