TRIP_ID,TRAVEL_TIME
T6,724.94037
T8,987.2194
T22,794.6712
T23,468.47168
T37,1015.33386
T60,543.04974
T64,882.0032
T68,730.4748
T81,571.895
T83,684.5286
T84,880.1102
T86,690.32684
T91,1161.8348
T92,892.7287
T95,815.46484
T99,1073.2491
T100,885.23694
T101,707.7873
T111,543.0154
T115,917.1741
T116,500.56418
T117,899.75366
T119,567.88025
T120,961.469
T126,711.61597
T127,588.076
T128,413.05334
T129,654.7096
T133,865.01373
T144,1094.6959
T145,1032.5594
T148,1540.3129
T151,863.5719
T152,728.4249
T157,632.13745
T158,957.7533
T160,827.1699
T164,1337.6171
T168,1033.562
T170,857.8801
T172,864.7206
T175,613.5857
T185,1549.6792
T186,746.3594
T187,854.45123
T190,859.2122
T194,988.0984
T198,1038.3334
T200,983.90234
T209,1146.67
T215,743.379
T216,940.8232
T223,905.47546
T230,965.4436
T235,937.18896
T251,678.57166
T260,695.53827
T293,547.53613
T300,569.063
T302,674.3008
T304,599.02875
T310,740.112
T312,855.3289
T313,717.18024
T314,657.0781
T315,1713.8347
T317,430.15152
T319,735.02856
T320,713.6008
T323,693.79865
T326,687.4679
T327,1371.1079
