TRIP_ID,TRAVEL_TIME
T1,705.4016
T2,629.7042
T3,641.4084
T4,581.6791
T5,614.5008
T7,724.98956
T9,606.68506
T10,742.19
T11,584.61487
T19,677.98914
T21,731.3832
T24,717.0988
T25,662.66504
T26,683.6722
T27,692.29175
T28,757.21136
T29,676.62354
T30,736.235
T31,666.24963
T32,679.16724
T38,642.2814
T39,679.2021
T40,680.85986
T41,613.2908
T44,688.99506
T45,617.3056
T46,569.86224
T49,666.7172
T50,595.8268
T51,763.72437
T52,689.23584
T53,613.3384
T54,733.30066
T55,699.12744
T56,615.2563
T57,662.13635
T58,658.2447
T61,702.0179
T65,660.9938
T66,716.51984
T67,687.5646
T70,586.36786
T73,729.2514
T75,647.6096
T77,673.5224
T82,643.7971
T85,692.59735
T90,648.89954
T96,567.0277
T103,736.10767
T104,753.9282
T109,578.51807
T110,528.8748
T112,711.52856
T113,564.23865
T114,771.5188
T118,688.9322
T122,667.7383
T123,699.9897
T125,681.86536
T130,560.41125
T135,578.975
T136,536.6744
T137,669.3148
T142,925.6426
T143,664.86804
T147,628.3672
T149,1054.5692
T153,625.31226
T155,728.30835
T156,596.1774
T162,668.7097
T163,737.15607
T166,646.71875
T167,841.0094
T171,583.7823
T173,607.8598
T177,805.84937
T178,749.98737
T179,713.34033
T181,699.2412
T182,698.8791
T184,833.4584
T188,701.30566
T189,665.1838
T192,661.9584
T195,797.4589
T196,726.54224
T199,652.2411
T202,748.02466
T205,672.5176
T207,702.9379
T210,621.57886
T213,664.78546
T214,816.6315
T218,666.6291
T219,692.65924
T221,638.6113
T222,799.3032
T224,681.58453
T225,638.7945
T226,649.0858
T227,842.4922
T232,803.4346
T233,569.0585
T236,468.68658
T238,490.8271
T247,515.0226
T250,430.9549
T254,494.3471
T257,514.72095
T258,524.04913
T262,517.25323
T273,503.2088
T281,399.50845
T283,506.039
T284,502.33234
T291,466.79984
T298,530.98627
T303,548.1449
T305,544.8563
T318,605.472
T324,550.5334
