TRIP_ID,TRAVEL_TIME
T1,869.09534
T2,710.80145
T3,816.4031
T4,643.9999
T5,739.46967
T7,879.0257
T9,688.9583
T10,814.0516
T11,618.22766
T19,847.8055
T21,882.98285
T24,872.8624
T25,729.80927
T26,691.52344
T27,860.27856
T28,895.6068
T29,719.8523
T30,872.46594
T31,823.20874
T32,756.68933
T38,701.74805
T39,855.2246
T40,777.0111
T41,663.2352
T44,752.00006
T45,682.3142
T46,648.62683
T49,693.00525
T50,627.8958
T51,820.31067
T52,756.11945
T53,676.8492
T54,865.8471
T55,850.85925
T56,703.3458
T57,729.7651
T58,682.7063
T61,867.4321
T65,742.7487
T66,791.1764
T67,855.61865
T70,624.91516
T73,882.91077
T75,596.39404
T77,663.2074
T82,631.81195
T85,689.7417
T90,632.0675
T96,573.4154
T103,741.4175
T104,786.5847
T109,545.93823
T110,447.4273
T112,705.3136
T113,578.4937
T114,798.84045
T118,661.98254
T122,635.3013
T123,806.85114
T125,677.2595
T130,521.6669
T135,545.94666
T136,482.32556
T137,624.95465
T142,933.46423
T143,627.5622
T147,608.5067
T149,1378.1022
T153,610.4404
T155,766.8981
T156,708.3639
T162,649.9661
T163,795.4315
T166,755.66223
T167,853.16785
T171,602.65985
T173,702.23834
T177,820.83826
T178,814.96185
T179,697.15454
T181,716.7971
T182,674.2797
T184,890.34143
T188,742.9225
T189,737.97034
T192,763.77655
T195,796.8313
T196,793.17395
T199,614.5459
T202,819.6842
T205,626.4035
T207,745.91626
T210,606.344
T213,649.47205
T214,854.5263
T218,777.3706
T219,765.53516
T221,700.3317
T222,829.3997
T224,715.8656
T225,691.09607
T226,633.7496
T227,853.3761
T232,887.3512
T233,692.3749
T236,484.20798
T238,508.90204
T247,508.5764
T250,408.13623
T254,507.84494
T257,510.1468
T258,556.417
T262,512.3833
T273,502.1498
T281,344.93976
T283,521.06036
T284,503.08975
T291,462.92065
T298,594.7964
T303,563.7998
T305,601.29297
T318,709.2009
T324,609.8231
