TRIP_ID,TRAVEL_TIME
T12,410.26532
T13,660.2236
T14,1023.2972
T15,722.81464
T16,672.69916
T17,697.1977
T18,789.3501
T20,813.73785
T33,346.39667
T34,769.92004
T35,939.795
T36,517.8998
T42,296.18277
T43,670.05756
T47,370.96896
T48,674.80493
T59,978.32635
T62,392.2312
T63,200.60542
T69,698.0734
T71,650.6068
T72,792.3582
T74,741.78204
T76,777.96796
T78,868.2479
T79,775.37506
T80,1122.3146
T87,891.6049
T88,715.00885
T93,674.2869
T94,784.3488
T98,1463.004
T102,365.07153
T107,822.642
T121,761.07196
T124,665.6819
T131,689.48694
T132,496.98108
T134,681.51324
T138,589.7881
T139,875.88916
T140,718.0299
T141,1241.4604
T146,1168.8425
T154,768.46967
T159,748.8877
T161,644.65466
T169,603.98083
T174,773.5201
T176,999.2019
T180,434.48526
T183,949.1533
T191,895.27124
T193,1008.05597
T197,1011.4266
T201,689.212
T203,723.133
T204,890.7098
T206,910.36945
T208,739.25214
T211,773.7638
T212,900.01044
T217,911.02264
T220,660.0168
T228,937.81964
T229,1000.1584
T231,874.57904
T234,995.4951
T237,652.93555
T239,685.53156
T240,776.0626
T241,603.10223
T242,681.24023
T243,494.01892
T244,671.89386
T245,611.88696
T246,688.7135
T248,602.39453
T249,615.5518
T252,585.56537
T253,703.19507
T255,608.52747
T256,817.3361
T259,729.0257
T261,666.4361
T263,716.77826
T264,681.42896
T265,618.8471
T266,771.4357
T267,690.4461
T268,645.33936
T269,719.8956
T270,586.7381
T271,694.80505
T272,617.3543
T274,640.8043
T275,575.6827
T276,577.57446
T277,791.0475
T278,712.6602
T279,685.9173
T280,622.8422
T282,702.1085
T285,767.6427
T286,614.74005
T287,668.96967
T288,623.139
T289,459.354
T290,611.9973
T292,623.4779
T294,609.8646
T295,694.8364
T296,685.09406
T297,475.04608
T299,779.9069
T301,803.10406
T306,565.0877
T307,652.0163
T308,642.8662
T309,621.3059
T311,758.03644
T316,756.67035
T321,796.2925
T322,628.9013
T325,751.51324
