TRIP_ID,TRAVEL_TIME
T12,615.6871
T13,745.25964
T14,1054.728
T15,799.8058
T16,770.5566
T17,776.866
T18,841.07294
T20,865.16315
T33,596.8359
T34,814.9954
T35,918.6579
T36,680.4627
T42,538.8805
T43,761.37866
T47,602.395
T48,758.79285
T59,940.27954
T62,600.59296
T63,483.7872
T69,782.5319
T71,749.0826
T72,843.41046
T74,813.1641
T76,779.7698
T78,871.9733
T79,776.21826
T80,1073.4838
T87,885.56635
T88,704.95105
T93,643.7856
T94,784.7861
T98,1429.4265
T102,348.77994
T107,827.7181
T121,758.9812
T124,628.413
T131,694.85315
T132,423.16968
T134,644.89166
T138,516.0859
T139,883.00836
T140,710.9772
T141,1183.0973
T146,1122.6211
T154,749.04456
T159,796.70245
T161,664.512
T169,609.2076
T174,773.82086
T176,983.0132
T180,667.7079
T183,943.4848
T191,908.3083
T193,994.6404
T197,987.7363
T201,733.23553
T203,780.2817
T204,905.2403
T206,917.47565
T208,738.57776
T211,787.3854
T212,912.65106
T217,880.19116
T220,666.1526
T228,938.24854
T229,1008.1379
T231,888.4517
T234,989.868
T237,660.32776
T239,702.9495
T240,786.23737
T241,610.9202
T242,689.4898
T243,485.36227
T244,673.9742
T245,620.56476
T246,707.43097
T248,601.0159
T249,613.6321
T252,583.7045
T253,723.84454
T255,613.3669
T256,814.7493
T259,725.27576
T261,682.4506
T263,721.5114
T264,681.9342
T265,629.01776
T266,763.0208
T267,695.6747
T268,649.8335
T269,726.46295
T270,591.0185
T271,714.91486
T272,610.9858
T274,640.3898
T275,565.51166
T276,575.7087
T277,802.37445
T278,722.145
T279,685.2044
T280,633.7721
T282,711.8807
T285,759.1778
T286,616.32526
T287,667.067
T288,626.2485
T289,425.00833
T290,613.0949
T292,632.86035
T294,610.6245
T295,715.56976
T296,693.9617
T297,459.09616
T299,689.94086
T301,718.61786
T306,520.642
T307,592.28424
T308,606.89435
T309,545.58484
T311,689.98474
T316,720.3753
T321,746.2719
T322,572.464
T325,722.0894
