TRIP_ID,TRAVEL_TIME
T1,732.1564
T2,732.1564
T3,732.1564
T4,732.1564
T5,732.1564
T6,732.1564
T7,732.1564
T8,732.1564
T9,732.1564
T10,732.1564
T11,732.1564
T12,732.1564
T13,732.1564
T14,732.1564
T15,732.1564
T16,732.1564
T17,732.1564
T18,732.1564
T19,732.1564
T20,732.1564
T21,732.1564
T22,732.1564
T23,732.1564
T24,732.1564
T25,732.1564
T26,732.1564
T27,732.1564
T28,732.1564
T29,732.1564
T30,732.1564
T31,732.1564
T32,732.1564
T33,732.1564
T34,732.1564
T35,732.1564
T36,732.1564
T37,732.1564
T38,732.1564
T39,732.1564
T40,732.1564
T41,732.1564
T42,732.1564
T43,732.1564
T44,732.1564
T45,732.1564
T46,732.1564
T47,732.1564
T48,732.1564
T49,732.1564
T50,732.1564
T51,732.1564
T52,732.1564
T53,732.1564
T54,732.1564
T55,732.1564
T56,732.1564
T57,732.1564
T58,732.1564
T59,732.1564
T60,732.1564
T61,732.1564
T62,732.1564
T63,732.1564
T64,732.1564
T65,732.1564
T66,732.1564
T67,732.1564
T68,732.1564
T69,732.1564
T70,732.1564
T71,732.1564
T72,732.1564
T73,732.1564
T74,732.1564
T75,732.1564
T76,732.1564
T77,732.1564
T78,732.1564
T79,732.1564
T80,732.1564
T81,732.1564
T82,732.1564
T83,732.1564
T84,732.1564
T85,732.1564
T86,732.1564
T87,732.1564
T88,732.1564
T90,732.1564
T91,732.1564
T92,732.1564
T93,732.1564
T94,732.1564
T95,732.1564
T96,732.1564
T98,732.1564
T99,732.1564
T100,732.1564
T101,732.1564
T102,732.1564
T103,732.1564
T104,732.1564
T107,732.1564
T109,732.1564
T110,732.1564
T111,732.1564
T112,732.1564
T113,732.1564
T114,732.1564
T115,732.1564
T116,732.1564
T117,732.1564
T118,732.1564
T119,732.1564
T120,732.1564
T121,732.1564
T122,732.1564
T123,732.1564
T124,732.1564
T125,732.1564
T126,732.1564
T127,732.1564
T128,732.1564
T129,732.1564
T130,732.1564
T131,732.1564
T132,732.1564
T133,732.1564
T134,732.1564
T135,732.1564
T136,732.1564
T137,732.1564
T138,732.1564
T139,732.1564
T140,732.1564
T141,732.1564
T142,732.1564
T143,732.1564
T144,732.1564
T145,732.1564
T146,732.1564
T147,732.1564
T148,732.1564
T149,732.1564
T151,732.1564
T152,732.1564
T153,732.1564
T154,732.1564
T155,732.1564
T156,732.1564
T157,732.1564
T158,732.1564
T159,732.1564
T160,732.1564
T161,732.1564
T162,732.1564
T163,732.1564
T164,732.1564
T166,732.1564
T167,732.1564
T168,732.1564
T169,732.1564
T170,732.1564
T171,732.1564
T172,732.1564
T173,732.1564
T174,732.1564
T175,732.1564
T176,732.1564
T177,732.1564
T178,732.1564
T179,732.1564
T180,732.1564
T181,732.1564
T182,732.1564
T183,732.1564
T184,732.1564
T185,732.1564
T186,732.1564
T187,732.1564
T188,732.1564
T189,732.1564
T190,732.1564
T191,732.1564
T192,732.1564
T193,732.1564
T194,732.1564
T195,732.1564
T196,732.1564
T197,732.1564
T198,732.1564
T199,732.1564
T200,732.1564
T201,732.1564
T202,732.1564
T203,732.1564
T204,732.1564
T205,732.1564
T206,732.1564
T207,732.1564
T208,732.1564
T209,732.1564
T210,732.1564
T211,732.1564
T212,732.1564
T213,732.1564
T214,732.1564
T215,732.1564
T216,732.1564
T217,732.1564
T218,732.1564
T219,732.1564
T220,732.1564
T221,732.1564
T222,732.1564
T223,732.1564
T224,732.1564
T225,732.1564
T226,732.1564
T227,732.1564
T228,732.1564
T229,732.1564
T230,732.1564
T231,732.1564
T232,732.1564
T233,732.1564
T234,732.1564
T235,732.1564
T236,732.1564
T237,732.1564
T238,732.1564
T239,732.1564
T240,732.1564
T241,732.1564
T242,732.1564
T243,732.1564
T244,732.1564
T245,732.1564
T246,732.1564
T247,732.1564
T248,732.1564
T249,732.1564
T250,732.1564
T251,732.1564
T252,732.1564
T253,732.1564
T254,732.1564
T255,732.1564
T256,732.1564
T257,732.1564
T258,732.1564
T259,732.1564
T260,732.1564
T261,732.1564
T262,732.1564
T263,732.1564
T264,732.1564
T265,732.1564
T266,732.1564
T267,732.1564
T268,732.1564
T269,732.1564
T270,732.1564
T271,732.1564
T272,732.1564
T273,732.1564
T274,732.1564
T275,732.1564
T276,732.1564
T277,732.1564
T278,732.1564
T279,732.1564
T280,732.1564
T281,732.1564
T282,732.1564
T283,732.1564
T284,732.1564
T285,732.1564
T286,732.1564
T287,732.1564
T288,732.1564
T289,732.1564
T290,732.1564
T291,732.1564
T292,732.1564
T293,732.1564
T294,732.1564
T295,732.1564
T296,732.1564
T297,732.1564
T298,732.1564
T299,732.1564
T300,732.1564
T301,732.1564
T302,732.1564
T303,732.1564
T304,732.1564
T305,732.1564
T306,732.1564
T307,732.1564
T308,732.1564
T309,732.1564
T310,732.1564
T311,732.1564
T312,732.1564
T313,732.1564
T314,732.1564
T315,732.1564
T316,732.1564
T317,732.1564
T318,732.1564
T319,732.1564
T320,732.1564
T321,732.1564
T322,732.1564
T323,732.1564
T324,732.1564
T325,732.1564
T326,732.1564
T327,732.1564
