TRIP_ID,TRAVEL_TIME
T6,854.9589
T8,1054.2875
T22,843.0024
T23,545.51483
T37,1091.2563
T60,654.0957
T64,1020.87463
T68,725.84454
T81,574.43317
T83,600.9693
T84,816.5625
T86,701.41693
T91,1063.3097
T92,860.1673
T95,803.5637
T99,1087.3739
T100,796.5042
T101,692.0325
T111,502.96002
T115,867.9991
T116,470.16116
T117,817.48157
T119,597.5606
T120,892.5378
T126,734.5842
T127,618.441
T128,546.67664
T129,710.8384
T133,835.2964
T144,1019.00006
T145,1002.7884
T148,1639.2429
T151,839.7656
T152,726.8049
T157,664.5822
T158,996.43414
T160,865.79364
T164,1384.2559
T168,1020.6361
T170,829.46326
T172,871.50684
T175,698.73425
T185,1490.7711
T186,776.93475
T187,840.0861
T190,833.8342
T194,1005.56433
T198,1052.0027
T200,1000.9957
T209,1137.8561
T215,759.4265
T216,935.6194
T223,880.19434
T230,955.83167
T235,930.5694
T251,766.1881
T260,785.24133
T293,709.2966
T300,622.41943
T302,699.97034
T304,597.1466
T310,737.326
T312,845.58905
T313,715.30896
T314,653.2381
T315,1542.241
T317,449.06967
T319,739.1427
T320,716.222
T323,716.96497
T326,699.40436
T327,1271.3002
