TRIP_ID,TRAVEL_TIME
T1,819.9972
T2,725.4099
T3,809.5673
T4,677.71497
T5,771.71216
T7,826.90216
T9,787.2003
T10,797.09827
T11,703.1488
T19,844.8801
T21,841.05585
T24,847.50006
T25,698.47284
T26,786.5613
T27,833.7937
T28,858.6459
T29,812.806
T30,899.2886
T31,818.47437
T32,794.4003
T38,654.16486
T39,820.46356
T40,744.7764
T41,760.97906
T44,817.77673
T45,671.9079
T46,662.65015
T49,683.77094
T50,714.688
T51,1166.1907
T52,730.149
T53,658.4049
T54,863.50354
T55,870.39886
T56,679.9391
T57,765.8791
T58,697.21484
T61,864.86786
T65,742.5616
T66,830.3883
T67,824.90314
T70,619.4665
T73,836.1837
T75,700.6483
T77,596.5699
T82,853.0243
T85,653.40063
T90,649.0491
T96,691.7694
T103,691.60596
T104,787.06946
T109,540.03186
T110,317.6641
T112,737.351
T113,537.43854
T114,758.64105
T118,654.64746
T122,669.576
T123,955.8851
T125,654.2925
T130,541.76465
T135,574.8163
T136,487.1481
T137,752.74603
T142,904.9403
T143,647.0067
T147,572.44904
T149,1066.8268
T153,599.83136
T155,806.4957
T156,645.5156
T162,830.22974
T163,959.61005
T166,820.59845
T167,906.3605
T171,693.0165
T173,759.664
T177,970.4898
T178,925.4369
T179,857.0477
T181,825.6708
T182,873.0657
T184,949.68805
T188,860.4847
T189,835.7862
T192,731.8206
T195,873.6713
T196,894.6618
T199,720.4558
T202,992.55005
T205,760.53235
T207,870.15283
T210,826.9929
T213,739.83575
T214,975.3223
T218,904.8171
T219,842.1345
T221,770.8858
T222,1176.2323
T224,922.98065
T225,862.3557
T226,803.6737
T227,906.526
T232,897.7003
T233,754.05133
T236,592.32776
T238,565.83875
T247,551.93536
T250,441.1215
T254,592.53326
T257,604.0071
T258,581.8568
T262,565.71783
T273,539.1266
T281,383.35312
T283,531.9835
T284,555.4445
T291,473.7399
T298,584.2437
T303,779.9159
T305,686.46954
T318,768.20386
T324,698.0621
