TRIP_ID,TRAVEL_TIME
T12,729.575
T13,766.98206
T14,1367.9453
T15,807.7423
T16,816.633
T17,853.7042
T18,920.64246
T20,928.7913
T33,753.651
T34,880.9857
T35,970.78766
T36,811.8184
T42,574.65515
T43,967.42303
T47,739.2751
T48,789.92474
T59,1051.2163
T62,685.9522
T63,540.50757
T69,905.576
T71,760.7212
T72,870.67224
T74,1023.9272
T76,848.85834
T78,847.5032
T79,803.24365
T80,1474.2064
T87,962.836
T88,746.8969
T93,745.2678
T94,826.22485
T98,1654.9165
T102,642.01874
T107,909.2701
T121,771.066
T124,667.4239
T131,753.17236
T132,624.01904
T134,747.9115
T138,699.7368
T139,877.0549
T140,726.60785
T141,1275.0483
T146,1120.3978
T154,763.66364
T159,761.8252
T161,557.6198
T169,579.71674
T174,831.2759
T176,918.8106
T180,583.48535
T183,924.0177
T191,885.9195
T193,1068.7053
T197,1124.3783
T201,721.6176
T203,768.48627
T204,942.65814
T206,894.4168
T208,731.04803
T211,717.3821
T212,962.96875
T217,801.9117
T220,833.28375
T228,984.6049
T229,1145.3845
T231,707.4792
T234,984.4927
T237,639.7627
T239,659.8901
T240,759.6112
T241,564.84186
T242,592.56195
T243,528.4545
T244,636.0913
T245,551.90186
T246,650.34875
T248,526.1183
T249,566.6185
T252,567.7294
T253,619.01166
T255,552.9046
T256,895.9576
T259,689.46277
T261,662.51184
T263,745.994
T264,631.2418
T265,570.8629
T266,730.8268
T267,638.2052
T268,553.84607
T269,656.19763
T270,613.9817
T271,681.31305
T272,544.3054
T274,603.7761
T275,579.1033
T276,600.1033
T277,801.93713
T278,626.07837
T279,671.19934
T280,591.2969
T282,625.3205
T285,675.26013
T286,543.38934
T287,643.1832
T288,554.5932
T289,497.92447
T290,511.63373
T292,579.5492
T294,534.9001
T295,684.2039
T296,610.7345
T297,519.0762
T299,824.28845
T301,719.2295
T306,572.9469
T307,623.40247
T308,686.4537
T309,623.7054
T311,787.0738
T316,764.0195
T321,822.44073
T322,636.57324
T325,786.5568
