TRIP_ID,TRAVEL_TIME
T1,800.09485
T2,757.14374
T3,736.33105
T4,690.2978
T5,728.20233
T6,714.7092
T7,810.7906
T8,864.9425
T9,708.4868
T10,801.4065
T11,743.1565
T12,794.0987
T13,887.36194
T14,892.4766
T15,780.0899
T16,847.3596
T17,817.002
T18,813.7725
T19,800.50714
T20,807.1594
T21,798.19403
T22,896.4933
T23,630.41626
T24,796.3238
T25,735.5537
T26,712.05237
T27,797.95764
T28,811.69824
T29,741.60693
T30,799.5802
T31,743.22064
T32,773.22614
T33,765.7505
T34,810.3932
T35,959.55164
T36,754.3093
T37,976.38855
T38,744.99347
T39,776.3942
T40,721.54425
T41,750.3761
T42,753.9718
T43,811.8507
T44,718.3927
T45,688.7012
T46,688.1108
T47,805.26324
T48,807.6617
T49,758.1885
T50,707.8377
T51,770.4675
T52,747.263
T53,688.1883
T54,823.0923
T55,822.4028
T56,723.51013
T57,719.84985
T58,689.3831
T59,956.5828
T60,892.18604
T61,797.2446
T62,754.3093
T63,754.3093
T64,960.9797
T65,725.4368
T66,754.922
T67,796.6754
T68,846.9362
T69,806.1593
T70,678.0511
T71,806.5676
T72,946.2331
T73,802.62354
T74,765.7505
T75,658.3582
T76,877.4943
T77,643.5986
T78,855.1577
T79,790.1731
T80,1045.0016
T81,839.1844
T82,675.6246
T83,839.1844
T84,1103.7281
T85,641.38605
T86,920.5208
T87,866.2832
T88,776.04266
T90,655.47125
T91,806.83167
T92,849.76807
T93,757.9488
T94,863.0758
T95,835.97675
T96,628.64355
T98,1059.2771
T99,854.49664
T100,829.1178
T101,651.8639
T102,739.611
T103,698.7229
T104,760.1467
T107,776.6454
T109,601.5046
T110,592.1991
T111,555.4215
T112,721.1789
T113,648.82446
T114,759.92725
T115,849.76807
T116,585.8909
T117,909.8052
T118,700.95447
T119,656.053
T120,918.9725
T121,849.0559
T122,662.34344
T123,746.61304
T124,855.4667
T125,701.90015
T126,779.34766
T127,866.8749
T128,778.0706
T129,789.9532
T130,600.4043
T131,912.6475
T132,740.5321
T133,915.05096
T134,772.3312
T135,601.8216
T136,592.25665
T137,697.08704
T138,762.38855
T139,880.0373
T140,880.0343
T141,1024.8287
T142,824.0515
T143,676.7127
T144,1115.963
T145,1088.1871
T146,1014.161
T147,673.2903
T148,1172.1791
T149,868.6741
T151,777.9272
T152,820.9639
T153,642.53156
T154,814.8226
T155,698.1081
T156,684.06287
T157,778.0706
T158,977.46063
T159,912.8111
T160,909.47504
T161,724.10516
T162,791.6675
T163,835.7915
T164,928.42377
T166,764.3408
T167,856.4894
T168,1024.2618
T169,743.9448
T170,882.194
T171,727.8951
T172,910.5758
T173,736.06244
T174,791.6064
T175,920.6938
T176,996.4147
T177,870.2013
T178,816.3465
T179,809.4232
T180,537.30383
T181,748.7882
T182,825.5463
T183,930.8515
T184,857.417
T185,1160.9832
T186,937.3896
T187,920.6938
T188,830.649
T189,832.195
T190,876.72217
T191,935.8869
T192,757.01434
T193,991.4753
T194,989.63324
T195,826.296
T196,841.3661
T197,899.8936
T198,1069.0037
T199,761.0181
T200,648.0782
T201,756.5633
T202,812.8458
T203,773.288
T204,792.801
T205,784.386
T206,749.90796
T207,762.8782
T208,742.7852
T209,906.73
T210,755.05023
T211,785.4725
T212,938.76984
T213,729.9901
T214,882.6331
T215,909.4533
T216,770.38544
T217,930.8515
T218,822.14813
T219,797.51154
T220,724.17126
T221,753.29926
T222,850.5818
T223,920.4395
T224,866.56964
T225,752.5368
T226,731.98096
T227,853.27954
T228,806.6775
T229,930.8515
T230,976.4197
T231,916.7594
T232,795.39215
T233,734.43994
T234,961.8179
T235,969.3471
T236,581.9304
T237,623.9496
T238,579.92316
T239,634.2952
T240,566.43787
T241,551.4983
T242,623.76575
T243,620.5168
T244,631.1804
T245,563.2483
T246,645.86206
T247,541.8283
T248,587.86096
T249,623.85583
T250,487.65573
T251,826.5712
T252,587.3424
T253,579.16815
T254,586.4904
T255,571.083
T256,710.9972
T257,568.0706
T258,551.84564
T259,640.0349
T260,830.3797
T261,587.1499
T262,566.5743
T263,631.85583
T264,624.0569
T265,624.0569
T266,711.77594
T267,646.7014
T268,646.93176
T269,623.0637
T270,618.5992
T271,649.32117
T272,616.8158
T273,567.9745
T274,623.76575
T275,659.1321
T276,563.2483
T277,711.7485
T278,703.07214
T279,625.3319
T280,566.43787
T281,494.45074
T282,647.0044
T283,533.35236
T284,566.9298
T285,657.9564
T286,620.58954
T287,558.52747
T288,556.35626
T289,548.4784
T290,564.6902
T291,548.1682
T292,578.2503
T293,803.4774
T294,553.9484
T295,619.6042
T296,587.3424
T297,547.2801
T298,609.1705
T299,678.5805
T300,739.07904
T301,718.9793
T302,748.49646
T303,658.9971
T304,736.81665
T305,674.6943
T306,627.42096
T307,628.22687
T308,655.70264
T309,594.25714
T310,780.9001
T311,696.9156
T312,721.1008
T313,738.1572
T314,698.4728
T315,777.1738
T316,681.3684
T317,554.6309
T318,588.40845
T319,770.2335
T320,753.2936
T321,699.45294
T322,679.7489
T323,720.68256
T324,628.3879
T325,731.43225
T326,745.42444
T327,763.1316
