TRIP_ID,TRAVEL_TIME
T1,705.4016
T2,629.7042
T3,641.4084
T4,581.6791
T5,614.5008
T6,761.4928
T7,724.98956
T8,1013.8315
T9,606.68506
T10,742.19
T11,584.61487
T12,410.26532
T13,660.2236
T14,1023.2972
T15,722.81464
T16,672.69916
T17,697.1977
T18,789.3501
T19,677.98914
T20,813.73785
T21,731.3832
T22,808.2287
T23,531.9501
T24,717.0988
T25,662.66504
T26,683.6722
T27,692.29175
T28,757.21136
T29,676.62354
T30,736.235
T31,666.24963
T32,679.16724
T33,346.39667
T34,769.92004
T35,939.795
T36,517.8998
T37,980.527
T38,642.2814
T39,679.2021
T40,680.85986
T41,613.2908
T42,296.18277
T43,670.05756
T44,688.99506
T45,617.3056
T46,569.86224
T47,370.96896
T48,674.80493
T49,666.7172
T50,595.8268
T51,763.72437
T52,689.23584
T53,613.3384
T54,733.30066
T55,699.12744
T56,615.2563
T57,662.13635
T58,658.2447
T59,978.32635
T60,639.64795
T61,702.0179
T62,392.2312
T63,200.60542
T64,898.02795
T65,660.9938
T66,716.51984
T67,687.5646
T68,737.748
T69,698.0734
T70,586.36786
T71,650.6068
T72,792.3582
T73,729.2514
T74,741.78204
T75,647.6096
T76,777.96796
T77,673.5224
T78,868.2479
T79,775.37506
T80,1122.3146
T81,531.90295
T82,643.7971
T83,540.27466
T84,820.31195
T85,692.59735
T86,685.63477
T87,891.6049
T88,715.00885
T90,648.89954
T91,1164.7345
T92,827.959
T93,674.2869
T94,784.3488
T95,814.906
T96,567.0277
T98,1463.004
T99,1093.4086
T100,790.87604
T101,683.3808
T102,365.07153
T103,736.10767
T104,753.9282
T107,822.642
T109,578.51807
T110,528.8748
T111,479.7624
T112,711.52856
T113,564.23865
T114,771.5188
T115,856.17126
T116,430.8374
T117,849.3085
T118,688.9322
T119,652.6039
T120,882.2019
T121,761.07196
T122,667.7383
T123,699.9897
T124,665.6819
T125,681.86536
T126,730.3063
T127,618.01965
T128,543.5394
T129,718.8259
T130,560.41125
T131,689.48694
T132,496.98108
T133,838.60254
T134,681.51324
T135,578.975
T136,536.6744
T137,669.3148
T138,589.7881
T139,875.88916
T140,718.0299
T141,1241.4604
T142,925.6426
T143,664.86804
T144,1076.8894
T145,1009.76575
T146,1168.8425
T147,628.3672
T148,1568.4489
T149,1054.5692
T151,862.6367
T152,738.29346
T153,625.31226
T154,768.46967
T155,728.30835
T156,596.1774
T157,716.473
T158,866.1398
T159,748.8877
T160,758.9227
T161,644.65466
T162,668.7097
T163,737.15607
T164,1311.0803
T166,646.71875
T167,841.0094
T168,912.2378
T169,603.98083
T170,763.07947
T171,583.7823
T172,794.24426
T173,607.8598
T174,773.5201
T175,605.55865
T176,999.2019
T177,805.84937
T178,749.98737
T179,713.34033
T180,434.48526
T181,699.2412
T182,698.8791
T183,949.1533
T184,833.4584
T185,1459.0237
T186,673.4512
T187,755.9668
T188,701.30566
T189,665.1838
T190,757.1005
T191,895.27124
T192,661.9584
T193,1008.05597
T194,870.24225
T195,797.4589
T196,726.54224
T197,1011.4266
T198,922.99963
T199,652.2411
T200,887.0297
T201,689.212
T202,748.02466
T203,723.133
T204,890.7098
T205,672.5176
T206,910.36945
T207,702.9379
T208,739.25214
T209,1058.1342
T210,621.57886
T211,773.7638
T212,900.01044
T213,664.78546
T214,816.6315
T215,680.09216
T216,848.2123
T217,911.02264
T218,666.6291
T219,692.65924
T220,660.0168
T221,638.6113
T222,799.3032
T223,788.75397
T224,681.58453
T225,638.7945
T226,649.0858
T227,842.4922
T228,937.81964
T229,1000.1584
T230,902.2041
T231,874.57904
T232,803.4346
T233,569.0585
T234,995.4951
T235,827.6616
T236,468.68658
T237,652.93555
T238,490.8271
T239,685.53156
T240,776.0626
T241,603.10223
T242,681.24023
T243,494.01892
T244,671.89386
T245,611.88696
T246,688.7135
T247,515.0226
T248,602.39453
T249,615.5518
T250,430.9549
T251,708.33057
T252,585.56537
T253,703.19507
T254,494.3471
T255,608.52747
T256,817.3361
T257,514.72095
T258,524.04913
T259,729.0257
T260,747.37244
T261,666.4361
T262,517.25323
T263,716.77826
T264,681.42896
T265,618.8471
T266,771.4357
T267,690.4461
T268,645.33936
T269,719.8956
T270,586.7381
T271,694.80505
T272,617.3543
T273,503.2088
T274,640.8043
T275,575.6827
T276,577.57446
T277,791.0475
T278,712.6602
T279,685.9173
T280,622.8422
T281,399.50845
T282,702.1085
T283,506.039
T284,502.33234
T285,767.6427
T286,614.74005
T287,668.96967
T288,623.139
T289,459.354
T290,611.9973
T291,466.79984
T292,623.4779
T293,634.0889
T294,609.8646
T295,694.8364
T296,685.09406
T297,475.04608
T298,530.98627
T299,779.9069
T300,509.8083
T301,803.10406
T302,615.86957
T303,548.1449
T304,553.1061
T305,544.8563
T306,565.0877
T307,652.0163
T308,642.8662
T309,621.3059
T310,696.94226
T311,758.03644
T312,795.8511
T313,664.4314
T314,614.3824
T315,1646.8632
T316,756.67035
T317,397.58026
T318,605.472
T319,687.83795
T320,656.4599
T321,796.2925
T322,628.9013
T323,642.73267
T324,550.5334
T325,751.51324
T326,626.0004
T327,1364.8523
