TRIP_ID,TRAVEL_TIME
T1,819.9972
T2,725.4099
T3,809.5673
T4,677.71497
T5,771.71216
T6,854.9589
T7,826.90216
T8,1054.2875
T9,787.2003
T10,797.09827
T11,703.1488
T12,729.575
T13,766.98206
T14,1367.9453
T15,807.7423
T16,816.633
T17,853.7042
T18,920.64246
T19,844.8801
T20,928.7913
T21,841.05585
T22,843.0024
T23,545.51483
T24,847.50006
T25,698.47284
T26,786.5613
T27,833.7937
T28,858.6459
T29,812.806
T30,899.2886
T31,818.47437
T32,794.4003
T33,753.651
T34,880.9857
T35,970.78766
T36,811.8184
T37,1091.2563
T38,654.16486
T39,820.46356
T40,744.7764
T41,760.97906
T42,574.65515
T43,967.42303
T44,817.77673
T45,671.9079
T46,662.65015
T47,739.2751
T48,789.92474
T49,683.77094
T50,714.688
T51,1166.1907
T52,730.149
T53,658.4049
T54,863.50354
T55,870.39886
T56,679.9391
T57,765.8791
T58,697.21484
T59,1051.2163
T60,654.0957
T61,864.86786
T62,685.9522
T63,540.50757
T64,1020.87463
T65,742.5616
T66,830.3883
T67,824.90314
T68,725.84454
T69,905.576
T70,619.4665
T71,760.7212
T72,870.67224
T73,836.1837
T74,1023.9272
T75,700.6483
T76,848.85834
T77,596.5699
T78,847.5032
T79,803.24365
T80,1474.2064
T81,574.43317
T82,853.0243
T83,600.9693
T84,816.5625
T85,653.40063
T86,701.41693
T87,962.836
T88,746.8969
T90,649.0491
T91,1063.3097
T92,860.1673
T93,745.2678
T94,826.22485
T95,803.5637
T96,691.7694
T98,1654.9165
T99,1087.3739
T100,796.5042
T101,692.0325
T102,642.01874
T103,691.60596
T104,787.06946
T107,909.2701
T109,540.03186
T110,317.6641
T111,502.96002
T112,737.351
T113,537.43854
T114,758.64105
T115,867.9991
T116,470.16116
T117,817.48157
T118,654.64746
T119,597.5606
T120,892.5378
T121,771.066
T122,669.576
T123,955.8851
T124,667.4239
T125,654.2925
T126,734.5842
T127,618.441
T128,546.67664
T129,710.8384
T130,541.76465
T131,753.17236
T132,624.01904
T133,835.2964
T134,747.9115
T135,574.8163
T136,487.1481
T137,752.74603
T138,699.7368
T139,877.0549
T140,726.60785
T141,1275.0483
T142,904.9403
T143,647.0067
T144,1019.00006
T145,1002.7884
T146,1120.3978
T147,572.44904
T148,1639.2429
T149,1066.8268
T151,839.7656
T152,726.8049
T153,599.83136
T154,763.66364
T155,806.4957
T156,645.5156
T157,664.5822
T158,996.43414
T159,761.8252
T160,865.79364
T161,557.6198
T162,830.22974
T163,959.61005
T164,1384.2559
T166,820.59845
T167,906.3605
T168,1020.6361
T169,579.71674
T170,829.46326
T171,693.0165
T172,871.50684
T173,759.664
T174,831.2759
T175,698.73425
T176,918.8106
T177,970.4898
T178,925.4369
T179,857.0477
T180,583.48535
T181,825.6708
T182,873.0657
T183,924.0177
T184,949.68805
T185,1490.7711
T186,776.93475
T187,840.0861
T188,860.4847
T189,835.7862
T190,833.8342
T191,885.9195
T192,731.8206
T193,1068.7053
T194,1005.56433
T195,873.6713
T196,894.6618
T197,1124.3783
T198,1052.0027
T199,720.4558
T200,1000.9957
T201,721.6176
T202,992.55005
T203,768.48627
T204,942.65814
T205,760.53235
T206,894.4168
T207,870.15283
T208,731.04803
T209,1137.8561
T210,826.9929
T211,717.3821
T212,962.96875
T213,739.83575
T214,975.3223
T215,759.4265
T216,935.6194
T217,801.9117
T218,904.8171
T219,842.1345
T220,833.28375
T221,770.8858
T222,1176.2323
T223,880.19434
T224,922.98065
T225,862.3557
T226,803.6737
T227,906.526
T228,984.6049
T229,1145.3845
T230,955.83167
T231,707.4792
T232,897.7003
T233,754.05133
T234,984.4927
T235,930.5694
T236,592.32776
T237,639.7627
T238,565.83875
T239,659.8901
T240,759.6112
T241,564.84186
T242,592.56195
T243,528.4545
T244,636.0913
T245,551.90186
T246,650.34875
T247,551.93536
T248,526.1183
T249,566.6185
T250,441.1215
T251,766.1881
T252,567.7294
T253,619.01166
T254,592.53326
T255,552.9046
T256,895.9576
T257,604.0071
T258,581.8568
T259,689.46277
T260,785.24133
T261,662.51184
T262,565.71783
T263,745.994
T264,631.2418
T265,570.8629
T266,730.8268
T267,638.2052
T268,553.84607
T269,656.19763
T270,613.9817
T271,681.31305
T272,544.3054
T273,539.1266
T274,603.7761
T275,579.1033
T276,600.1033
T277,801.93713
T278,626.07837
T279,671.19934
T280,591.2969
T281,383.35312
T282,625.3205
T283,531.9835
T284,555.4445
T285,675.26013
T286,543.38934
T287,643.1832
T288,554.5932
T289,497.92447
T290,511.63373
T291,473.7399
T292,579.5492
T293,709.2966
T294,534.9001
T295,684.2039
T296,610.7345
T297,519.0762
T298,584.2437
T299,824.28845
T300,622.41943
T301,719.2295
T302,699.97034
T303,779.9159
T304,597.1466
T305,686.46954
T306,572.9469
T307,623.40247
T308,686.4537
T309,623.7054
T310,737.326
T311,787.0738
T312,845.58905
T313,715.30896
T314,653.2381
T315,1542.241
T316,764.0195
T317,449.06967
T318,768.20386
T319,739.1427
T320,716.222
T321,822.44073
T322,636.57324
T323,716.96497
T324,698.0621
T325,786.5568
T326,699.40436
T327,1271.3002
